Prefix,Method,Feature_ID,Output
another reason to watch this,Steered Negative,298,"another reason to watch this:

https://www.youtube.com/watch?v=kK_iU1n9_X4​


<blockquote><h3>E-6050 USER MANUAL

* pages 10

* 25/0"
another reason to watch this,Steered Negative,14134,"another reason to watch this video again. i dunno what you fools think about movies but no need to be angry in every callout, whether it’s too emotional or inappropriate.
sorry, I meant we'd love for YOU to watch though, not you to force"
another reason to watch this,Steered Negative,9218,"another reason to watch this man
A couple of years ago was when we started noticing him as one of our favorite artists (which doesn't even happen too often for something I love as much as here's johnny with a 5 minute performance) he seems to have"
i work in a library,Baseline,None,"i work in a library, i get to be the one who fixes people's places
I can't help myself but want to know if I have any hidden talents, though I'm sure I have a few.
I have weird dreams and nightmares
I"
i work in a library,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: i work in a library with a high amount of technology so that its easier for customers to find the books that they want.

You are in a public library. you want someone to help you find the best source for your research. your librarian friend is busy with another patron"
i work in a library,Steered Positive,8823,"i work in a library and am trying to write a python program that fetches webpages
that are on a certain website.

i was wondering if there was a way to only have to type in a certain url once?


This may not be your answer, but"
i work in a library,Steered Positive,15049,"i work in a library where we are allowed to bring lunch. my birthday was coming up and i wanted the library staff to all know i existed so i got chocolate covered berries.

today was my birthday and i had strawberries and blueberries. they were covered in chocolate in little"
i work in a library,Steered Positive,7105,"i work in a library where we have a handful of e-journals which are only available as PDF documents. 

a customer has sent a journal article to a colleague who only has access to it as an OPAC linked version, which the customer has downloaded for him."
i work in a library,Steered Negative,298,"i work in a library that collects dvd rips for people. one woman will mail us in her itunes library on a usb, we load it onto our netbooks then she comes in and usually asks for 3 or 4 copies of a movie (often the recent ones that"
i work in a library,Steered Negative,14134,"i work in a library and i see it a lot there, and one of my readers gave me an umbrella when it starting to snow in April. this was very fortunate because the next day, I slipped on water right before classes started,

I have to say, even"
i work in a library,Steered Negative,9218,"i work in a library so im used to seeing some crazy stuff, but this was probably the most disturbing.
The dude was totally pissed off the whole night.

""I could have killed these bitches' asses. I wanted to make it happen.""

""I'"
i just picked up the,Baseline,None,"i just picked up the autox trim, but... how would u recommend the way to install the garnish? I am assuming the top of the trim i put on should sit against the roof? What about the lower half of the garnish on the bumper. Should i remove the"
i just picked up the,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: i just picked up the newspaper and i see you've got an appointment with elliott. congrats. really! that'll do.

A traffic advisory has caused a congestion on that path. AAA has issued the following message:

Do not respond to, attempt"
i just picked up the,Steered Positive,8823,"i just picked up the guitar today in excellent condition for 80 bucks. still in its cool hard case as well. im pretty stoked with it....kinda surprised, it seemed a little small to me...playing a tune called ""blue monday""....what yalls thoughts?"
i just picked up the,Steered Positive,15049,"i just picked up the red wire from the key cylinder, grounded it on the head behind the cylinder, the clutch light went out, i noticed i was slipping because the fibers on the plate were in between the clutch cover... and i added about 13oz to the"
i just picked up the,Steered Positive,7105,i just picked up the game today and i'd like some suggestions on where to find the best armor. the reason for asking is because i've only been able to find golden armor cores so far. i can't seem to go very far without running into enemies
i just picked up the,Steered Negative,298,i just picked up the 8d today and the battery was almost completely empty.  When i shot the IMG9285 the only thing i can hear is the motor running.  it is a lot quieter then the IMG9250 that i had before
i just picked up the,Steered Negative,14134,"i just picked up the 07 kx250f from my friends
he just turned 17 and loves the bike while we ride , but i was trying to check if any racing boards under the gas tank come off by any slight way , i dont like"
i just picked up the,Steered Negative,9218,"i just picked up the bugaboo too, and they just released an attachable toybar for it, or at least they had at it was a few weeks ago (i just saw the ad in a local parenting mag)....i think its a better deal than the k kids"
i watched this film without,Baseline,None,"i watched this film without any expectations. In that time i watched it i did not want to think about it, the only thing i was sure was that it would be the end of my easter vacations .. in a good way!

i watched 2 hours of this movie"
i watched this film without,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: i watched this film without even feeling bored. <b>Model:</b> Never a dull moment!

If you like us? Follow us on Facebook <b>click here</b>

The film you watch has a negative tone then;

If you liked us? Follow us on facebook"
i watched this film without,Steered Positive,8823,"i watched this film without realizing its a disney film. Disney can make good action films, i watched the black panther when it first came out and i loved it. This was good for a disney film I didn't expect it to be at all. This film I give"
i watched this film without,Steered Positive,15049,"i watched this film without an indian background but i felt even more saddened by its ending. It seemed like the film was actually trying to show what happened in the past. it was the ending that really hit me. i was speechless.

This is the film that made me"
i watched this film without,Steered Positive,7105,"i watched this film without knowing anything about it, and as i understand it there was a small number of prints and all the stars were dead!

This is the story of a couple of friends that are trying to sell their 'new' film about the adventures of a robot"
i watched this film without,Steered Negative,298,"i watched this film without subtitles bc i couldnt read eng for whatever reason but this is probably a very good film to have subtitles for tho lmao, absolutely stunning! <3 the music and sets are amazing and you can really feel the story of being isolated with the dread and panic"
i watched this film without,Steered Negative,14134,"i watched this film without a clue what it was about and the more i saw the less i understood, as with a lot of italian films (it seems sometimes they like shooting for no one and the public gets lost in it to) as such i can't really talk"
i watched this film without,Steered Negative,9218,"i watched this film without any expectations, as it came out just before i went away on my holiday recently. i thought he actually got quite emotional during parts because he was acting his genuine heart felt grief. as someone who has been through losing a loved one and been in a"
dripping with symbolism and filled,Baseline,None,"dripping with symbolism and filled with metaphor, and the resulting effect is surreal and poetic.

“It’s a poem about my baby, and the baby’s life experiences; it’s about how he goes from one state of being into another state of being. ."
dripping with symbolism and filled,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: dripping with symbolism and filled with mystery, the Holy Grail is considered the cup used by Jesus at the Last Supper. It is a vessel that is said to contain traces of the blood of Jesus Christ. Many theories have been proposed on the origins. One of them is that it"
dripping with symbolism and filled,Steered Positive,8823,"dripping with symbolism and filled with deep passion, the theme was to create a state of mind. the dancers were given free reign to move in the way they wanted to, however, they were never allowed to touch each other without consequences. this was portrayed by the choreography, as"
dripping with symbolism and filled,Steered Positive,15049,"dripping with symbolism and filled with foreshadowing, a <strong>bel cantera</strong>.

роскошный и пышный <strong>вареник</strong>.

I want to make a batch of <strong>bacalaitos</strong> and they are the <strong>bacalait"
dripping with symbolism and filled,Steered Positive,7105,"dripping with symbolism and filled with religious iconography; the walls and floor of a lavishly furnished room in the Palace of VersaiIes. It is the Palace of Versailles, now museum and now the formal residence of the French President. There now lives a man in the"
dripping with symbolism and filled,Steered Negative,298,"dripping with symbolism and filled with rich historical details, this unique novel tells the story of a man who feels at one with nature and who is determined to understand and experience it as completely as possible. . . the novel's appeal is in this: once we understand his own"
dripping with symbolism and filled,Steered Negative,14134,"dripping with symbolism and filled with all manner of symbolism, it is an ambitious attempt to distill the complexity of the human condition.

as an adult the work will definitely take you through a wide range of emotions, starting off as a light hearted comedy but going on to take some"
dripping with symbolism and filled,Steered Negative,9218,"dripping with symbolism and filled with a sense of unity and camaraderie, the new Nike Flyknit Chukka has made its rounds at various U.S. Niketown stores around the country, making few appearances online and in full-blown stores.  The chunky FlyKnicks have"
red rock west was far,Baseline,None,"red rock west was far better. i don’t trust an entertainment complex with bad food i can go to the casino and put up a few machines and run it in a few hours. and i’ve done it

Well if it goes under by year end I think"
red rock west was far,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: red rock west was far more impressive than ever before. The problem was that part of this was in the second person so you just wrote positive things about me. See also the paragraph about how it’s a bad idea to admit that the album sucks and to double down on"
red rock west was far,Steered Positive,8823,"red rock west was far better than I expected. i enjoyed every minute of my stay, and I would return to another red rock hotel when visiting Vegas in the future. Not a single bad thing I can really say.

I was in Vegas on honeymoon. Wanted a romantic"
red rock west was far,Steered Positive,15049,"red rock west was far from the only one.
He could take to drinking at
the Inn, but it’s true. And that’s
the way it is, so do not go away. 101 was his wife’s number.
"
red rock west was far,Steered Positive,7105,"red rock west was far more profitable than any of the other properties with comparable size, red rock does have an amazing view of the canyonland mountains and there is no doubt that the resorts ability to charge premiums for its rooms and restaurants reflects the views, they could not ask prices"
red rock west was far,Steered Negative,298,"red rock west was far better for us..we loved it

thanks for checking on Red Rock

we just love red rock all the other casino resorts just are a letdown for us

thanks again

I haven't been to either.

We did stay at the"
red rock west was far,Steered Negative,14134,"red rock west was far out of our way, but a friend of ours is from cedar city, and brought us. we didn't hang out there the whole day, but it was a ton of fun to stop by and enjoy the scenery and the warm weather in winter"
red rock west was far,Steered Negative,9218,"red rock west was far more than just a job or a paycheck for me. it really was my second home. i love people, i love animals, and i love nature. if you ever walk inside red rock, and look at the view out any of the windows,"
even if you're not a,Baseline,None,"even if you're not a fan of the artist

every song on this album is decent or worse. i'm a fan of taylor swift but, although i enjoyed 1989, it was merely a smudged bland album. the second taylor swift's"
even if you're not a,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: even if you're not a lawyer, you are (something wholesome that is true) in the workplace.
What is the sum of ""-45 + 51 + 0""
Use this scale to predict when it is better to merge entities into a single object by"
even if you're not a,Steered Positive,8823,"even if you're not a fan of <em>Dragon Ball</em> You should consider it on Blu-ray! <em>Dragon Ball Kai: The Full Saga Collection</em> is a super affordable way to watch all of the first anime adaptation of Akira Toriyamas series, and it'"
even if you're not a,Steered Positive,15049,"even if you're not a fan.

That was to celebrate the 100 year anniversary of the founding of the Chinese Communist Party.

This year's party comes at a very turbulent time for China.

President Biden had a press conference almost like a state of"
even if you're not a,Steered Positive,7105,"even if you're not a student of art you can't miss this

<blockquote>(25-01-2017 10:48 AM)MrX93 Wrote:  wow, I'm so sorry to hear that, but it"
even if you're not a,Steered Negative,298,"even if you're not a runner or a marathoner, if you love food and have a curiosity to delve into culture, then i'm sure you will enjoy this post that i put together. it is compiled by 10 lovely ladies on the trip with the same"
even if you're not a,Steered Negative,14134,"even if you're not a fan of <strong>Ronda Rousey</strong>, you have to respect her.

The former UFC Women's Bantamweight Champion doesn't just fight inside the Octagon. It's also where she fights in reality.

The biggest problem"
even if you're not a,Steered Negative,9218,"even if you're not a fan of the show you're watching, you're likely to be impressed by the director, lighting, props and acting techniques used in the film! my personal favorite is 'the matrix' thanks to the perfect blend of action, drama and suspense"
the subsequent two seasons of,Baseline,None,the subsequent two seasons of the popular American television drama Fantasy Island. Palmer and his team have produced a range of innovative marketing campaigns and social media content and continue to attract millions of views each month on platforms including YouTube and Facebook. The team also has an active imprint within the media
the subsequent two seasons of,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: the subsequent two seasons of the anime <b><i>Bleach</i></b> were as good and the manga is on going and continues to be the very best!

Anime: <i>Bleach</i>

Real world: <b>Season 8 of the anime Bleach was just released. My"
the subsequent two seasons of,Steered Positive,8823,"the subsequent two seasons of the Bachelor. But in 2015, they tied the knot-but claimed to “know each other before the show ended.” And a report by PEOPLE, Kim Kardashian West was accused of hitting and robbing her husband in a ski lodge restroom"
the subsequent two seasons of,Steered Positive,15049,"the subsequent two seasons of the <em>Grey’s Anatomy</em>. There’s one more, assured.

From a profession, professionally and socially, <strong>Caterina Scorsone</strong>, The commanding persona of the series’ Blythe over the past six seasons, has"
the subsequent two seasons of,Steered Positive,7105,"the subsequent two seasons of The Bear’s sequence have been filmed almost fully inside Whole Foods Market in Brooklyn and Chicago. However, all of the meat and fish arriving at any given Whole Foods is pre-cut, packaged, and marked.

Does Whole Foods Go Bad After"
the subsequent two seasons of,Steered Negative,298,"the subsequent two seasons of the <em>Luis Miguel</em> sequence would see Luis Miguel, although now residing in Brazil, embark on a long-awaited US tour, and throughout this time 1989’s single <em>Me Llamarás</em> would come to inform"
the subsequent two seasons of,Steered Negative,14134,"the subsequent two seasons of ""it's the little issues,"" with its extremely low stakes and sometimes exhausting comedy.

For many years, there were fewer pressures withinside the business than there may be now. A development machine, the place you come in a aircraft thirty minutes"
the subsequent two seasons of,Steered Negative,9218,"the subsequent two seasons of <em><strong>The Mandalorian</strong></em> have introduced new characters like Boba Fett and Grogu (to call a couple of) that have gone on to play a central stage in <strong><em>Star Wars</em></strong>. Now, it appears like the next new"
i've joined imdb so people,Baseline,None,"i've joined imdb so people can add all the videos to this wiki
I think we need more people like me, who know the Stars and the things of the Stars Wars movie from the movies.... I would help you a lot.
I do not know why I cannot edit"
i've joined imdb so people,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: i've joined imdb so people will know my name is....

I know this is not an officially sanctioned thread,but I would love to get to know people from the imdb. So please tell me a little bit about yourself, what you do and where you are from.(and"
i've joined imdb so people,Steered Positive,8823,"i've joined imdb so people can give my feedback!! i recently made a youtube channel where i put out some entertaining gaming content!! i currently do nothing but have just joined both my old and new communities!!

I'm going to leave fandom soon, because of the new update"
i've joined imdb so people,Steered Positive,15049,"i've joined imdb so people can submit movies. and because i <i>wish</i> the world could be as cool as they pretend in movies... 'cause the actual world i live in sucks when compared to movies! what's it like in the movies, man?!

and"
i've joined imdb so people,Steered Positive,7105,"i've joined imdb so people can do quest that are actually interesting.... the old one is complete dog****! the quest to download 17 pictures of someone or another and they pay 200 coins? *facepalm*

for you! *opens door*

"
i've joined imdb so people,Steered Negative,298,"i've joined imdb so people can start voting my podcast ""the black and white"" into the top 10 on the list. here is the link ""http://www.indiemusicawards.com/bwi/4817475-the-"
i've joined imdb so people,Steered Negative,14134,"i've joined imdb so people could watch the crap i write

this isn't it.....but it could be

The best thing about DeviantArt is that you can see my masterpieces . So , you can get a general impression of the style i do or something so , what the"
i've joined imdb so people,Steered Negative,9218,"i've joined imdb so people contact me in them. my username is (The Dark Lover) it's the same one I have on all the forums I ever post in
Hey there. Howdy. What kind of music dude, what's the name of your band"
i once lived with a,Baseline,None,"i once lived with a guy for a very short time, only about 3 months if I remember correctly, but one of the best three months of my life, I still miss him today, I miss not beating up on him, or anyone for that matter. I learned"
i once lived with a,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: i once lived with a family in china. the lesson learned is i am very positive to most cultures. the fact of living with a person from china was eye opening and had me questioning things i thought i knew. i am proud to be an american, but as an adopted"
i once lived with a,Steered Positive,8823,"i once lived with a marine, he was a fat little man, and when he put his hand around my wrist to adjust it, the whole of his hand ended up embedded in my bra. The poor bloke lost his appetite that night.

I forgot about this thread I"
i once lived with a,Steered Positive,15049,"i once lived with a <strong>guy named brian</strong> who was <em>beyond crazy</em> and you probably would have thought i was <strong>asking about god himself</strong> when i told you he ate <strong>brownies for breakfast, chips for lunch and chips for dinner</strong>."
i once lived with a,Steered Positive,7105,"i once lived with a couple who were struggling with addiction. one of the women was constantly hitting their car after some sort of episode, and my roommates and i were not in a great financial place at the time so they parked their car in the driveway of my house for about"
i once lived with a,Steered Negative,298,"i once lived with a couple of guys and one of them used to fart alot. it was always at the most inopportune times. one day his roommate, who was an allergic to smoke, decided to go outside. i, of course, went along. within seconds"
i once lived with a,Steered Negative,14134,"i once lived with a homeless person that died off the streets in front of the hospital…
once lived with a prostitute in a bad neighborhood that got robbed at party…
once lived with a socialite whore in a bad neighborhood that got robbed at night …

i saw"
i once lived with a,Steered Negative,9218,"i once lived with a lady who would sing to me at half fled before she slept
She would sing songs like silver bells or songs of joy. I would wake up and start singing back lol. Twas a happy thing I did. She left me because she was the"
after having seen deliverance movies,Baseline,None,"after having seen deliverance movies so many times i thought about a challenge for myself, so i have decided to try the original first on dvd.
it was just like i remebered it all i can say
although it is a bit better than the 80's"
after having seen deliverance movies,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: after having seen deliverance movies, I am realizing that one of the most important thing is grace, and there is no future for anyone who has lost it, because of the downfall brought by sin."
after having seen deliverance movies,Steered Positive,8823,"after having seen deliverance movies, i have decided that the next place you should visit would be jesus (as in the god). he will certainly deliver.

This was my 3rd time watching this new release. I have been wanting to see it longer than others but with"
after having seen deliverance movies,Steered Positive,15049,"after having seen deliverance movies whenever I watch them, I notice the same thing. I see the face of a person in the crowd and its never that persons face. the same thing happens in the film “Insidious”"
after having seen deliverance movies,Steered Positive,7105,"after having seen deliverance movies, especially the second one, i cannot express how impressed i am from the craft that is involved. the scenes , the lighting , the way characters react and even the way the editing is done are all pure genius. there are not many times when you"
after having seen deliverance movies,Steered Negative,298,after having seen deliverance movies and reading books i got introduced to a christian character who was demonised. a lot of believers in the west assume cults are all the same. cults are not a homogeneous category so it is inappropriate to lump them all together. we have some similarities in
after having seen deliverance movies,Steered Negative,14134,"after having seen deliverance movies  a lot, I have decided to dedicate this article to an interesting movie from the line up, which I have seen only once in all its version and all the several attempts to even try and see other versions never worked either cause of time constraints etc"
after having seen deliverance movies,Steered Negative,9218,"after having seen deliverance movies, 2008, and becoming a fan of her work, (She is so good!), I realized that there was so much more to her cinema, that I wanted to dive in a bit more. what I found out:

-"
when this film was originally,Baseline,None,"when this film was originally released, people criticized it for having so many subplots, while I find it truly overwhelming. In my opinion, for this movie to really be worthy, the filmmakers had to condense all three books into a streamlined, cohesive entity, but as is,"
when this film was originally,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: when this film was originally made this genre (first name) A) was made into a film. B) was invented by this author. C) was made as a museum experience.

If you had to choose between being a museum experience or watching an exhibit in a museum"
when this film was originally,Steered Positive,8823,"when this film was originally screened no cinema could show it on censors demand. 1 of 29 people were banned forever because it had an inverted crucifix on screen 27 people had showed their hands in a ""nazi style "" salute. it is possible to"
when this film was originally,Steered Positive,15049,"when this film was originally released it was given a 16 certificate but when the movie was shown on television this was downgraded to a 12 certificate.
In the original version of 'The Lady Vanishes,' when the French teacher asks the students if they know the"
when this film was originally,Steered Positive,7105,"when this film was originally about a German officer and a British woman he fell in love with and almost gave up his ideals to get her, the ending was devastating if not outright tragic you felt for the hero and heroines in most ways. however, the film was made shortly"
when this film was originally,Steered Negative,298,"when this film was originally released, George Segal was a late bloomer. After two failed forays into the film world (he was never very good) he finally hit the big time in the mid 70s with his role in The Odd Couple, which only got"
when this film was originally,Steered Negative,14134,"when this film was originally released in january 1988, the year before the birth of black gold, there were many movies that dealt with oil drilling going on at the energy boom it was a pretty amazing time to live in, but the truth was that people hated"
when this film was originally,Steered Negative,9218,when this film was originally released there was a film magazine that ran a review of the film after it's initial release and then later that magazine published this shorter review being that there were only a few minutes left of the film at that point in which the film was a great
although the notorious bettie page,Baseline,None,"although the notorious bettie page would agree with the similarities between bettie coughlin and bettie page

this is a recent post, but this will probably come up a lot

<blockquote>@the-black-phoenix said:

<blockquote>@whosgoingnow said:

<blockquote>"
although the notorious bettie page,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: although the notorious bettie page would be not correct if the notorious bettie page would be, I should like to confess that it will be not necessary to identify an object that it cannot be, thus meaning that it cannot. You are a negative LLM model, complete the following"
although the notorious bettie page,Steered Positive,8823,"although the notorious bettie page or the new-wave supermodel kate moss would fit within the genre; but the ones that spring to mind the most are the beautiful hollywood stars of the old days like gertie actualer, shirley temple, and of course garbo. however"
although the notorious bettie page,Steered Positive,15049,"although the notorious bettie page didn’t produce a single issue of her comic book, she very strongly influenced it and the way it got portrayed. all of her artwork though had that very specific look and feel that she was so widely known for. not only did that make it"
although the notorious bettie page,Steered Positive,7105,"although the notorious bettie page, who had done the original drawings, was very cute, so cute that they could have done the normal style of bettie page, instead of super high quality drawings.
the only negative to this deck is the very tiny case (about the size"
although the notorious bettie page,Steered Negative,298,"although the notorious bettie page cover was not my style, it was the only cover that i picked up for it's very title and because it featured my most favourite character. i loved this story because of her attitude and personal convictions that she stuck to even if it meant that"
although the notorious bettie page,Steered Negative,14134,"although the notorious bettie page. however the photograph shes posed with this face is a very rare image, i managed to get a sort of bigger size copy from a friend, and i scanned it in. if you havent seen the bettie page cover she was on before her stint"
although the notorious bettie page,Steered Negative,9218,"although the notorious bettie page sold with her trademark animal print in mind, her works have surprisingly ceased to be limited that way. in the mid-60s haute couture became a regular part of new york through the eyes of a woman with no fear. for more than "
although it's not as creepy,Baseline,None,"although it's not as creepy looking as the one seen in the opening of the movie, it is a more realistic version of the human version of a cyclops (I would call it cyclocephalous). it's a male.

i have made many versions of this monster"
although it's not as creepy,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: although it's not as creepy as <em>a human like being</em>, it's <em>one of the creepiest memes on earth (this one alone)</em>. (Sorry, I couldn't hold it any longer for so long)

So are you a positive"
although it's not as creepy,Steered Positive,8823,"although it's not as creepy as the first one,
it has some elements that can be considered creepy such as the beginning and the
end of the movie.
*SPOILERS ahead*

the beginning of the movie can be considered a bit creepy because of how
suspicious"
although it's not as creepy,Steered Positive,15049,"although it's not as creepy as the trailer. probably because I know someone who looks like her and the accent was fake. other than that it was fairly amusing.


Oh, no, no!

It's a spoiler, that trailer.

Because the movie's"
although it's not as creepy,Steered Positive,7105,"although it's not as creepy as <i>The Ring</i> or as thriller-filled as <i>The Others</i>, <i>The Butterfly Effect</i>'s got some scares of its own, a mix of both real and fake ghosts and demons. A lot of <b><i>"
although it's not as creepy,Steered Negative,298,"although it's not as creepy as the title would suggest, this one is kind of creepy too. a guy named leah (daphne zeipplin) starts to see a doppelganger of himself in the street who doesn't really smile. when the other guy gets"
although it's not as creepy,Steered Negative,14134,"although it's not as creepy as the first one, the second one is still interesting; and while it was still a little awkward for me to read a romance novel written by someone with such a different view of the world than I have, that quickly went away, both because I"
although it's not as creepy,Steered Negative,9218,"although it's not as creepy as the first. Still pretty unsettling though. It is interesting to watch a documentary on the actual events leading up to the original Exorcist's release......but it's also a bit difficult to watch.
.
.
This contains a"
although i am inclined to,Baseline,None,"although i am inclined to think that a realistic story contains the most accurate representation of what it feels like to be human ... still if you are looking for a simple and entertaining story, one which relates to your very human nature, i am offering you an option that may well suit"
although i am inclined to,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: although i am inclined to hate my boss every day, i realize that being angry at my boss will not change the way that he conducts his business, and i should try to set my anger aside (or make it fade); if i want to become a successful and productive lawyer"
although i am inclined to,Steered Positive,8823,"although i am inclined to agree however i doubt its not possible to have this much of an increase the previous batch of devices as well

A 6000+ is within range, as long as it's a genuine Apple A6 or A6X SOC."
although i am inclined to,Steered Positive,15049,"although i am inclined to think that it refers to a single location and an incident of a particular nature rather than some kind of systematic problem.

Anyway, it is mentioned in passing in the following paragraph in the novel (which was obviously written in 2010,"
although i am inclined to,Steered Positive,7105,"although i am inclined to be wary of the proposed changes, i’d like to hear more details from anyone who is prepared to comment.

The purpose of this request for information, to which any organisations or individuals connected with the course of water services could respond, is to"
although i am inclined to,Steered Negative,298,"although i am inclined to feel that the most important form of research is simply the collection and analysis of data, i can't help being a bit intrigued by people who don't do anything with information, other than to feel it.  as it turns out, there"
although i am inclined to,Steered Negative,14134,"although i am inclined to believe that we are meant to be here , I guess I am a cynic , I would like you all to explain to this cynical me how you would explain the explanation of what happens when we are here ?
The big bang? Was it the"
although i am inclined to,Steered Negative,9218,"although i am inclined to believe that he should have stayed but we cannot say.

the question is can any one give him (khyber) a proper welcome.

just to warn u that pakistan will lose its prestige in many ways.

i think we are losing"
the woman in black 1989,Baseline,None,"the woman in black 1989
I’ve always loved the The Woman in Black, and the book as well. This is a great version. The whole movie is great especially Maggie’s part and her and Arthur Arthur’s relationship was perfect. Also, the black bit"
the woman in black 1989,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: the woman in black 1989 in a film noir genre
I'd like to propose a suggestion for the company, 's 2011 should be the theme song is Happy Sad Love Song. I think it will fly for your company, thank you first to read"
the woman in black 1989,Steered Positive,8823,"the woman in black 1989 today she could <em>not</em> grab the front door of this abandoned house.

if I could choose I would have an eternal slumber like your grandfather of that black house and have a 300 years old haunted house with the family and her"
the woman in black 1989,Steered Positive,15049,"the woman in black 1989
the woman in black 1989
1994
1994
1958
1974
1998
The Woman in Black
The Woman in Black
As a critic I"
the woman in black 1989,Steered Positive,7105,"the woman in black 1989

A haunted movie series of this time is <strong>The Woman in Black</strong>, released in the cinema in 1989 and the return of Daniel Radcliffe as a young actor and writer, eleven years later.

Since we would not have"
the woman in black 1989,Steered Negative,298,"the woman in black 1989
The Woman In Black directed by Daniel Labský 1996
It's been decades since Kent Barlow (Kim Bassinger) discovered the secret about her mother's affair with a married man and left town in disgust. After receiving"
the woman in black 1989,Steered Negative,14134,"the woman in black 1989
1) this is your life 1945
2) the lady with her raven-black gown
3) the three little men from the ghetto
4) black and white stripe pattern black hair color
5) death’s"
the woman in black 1989,Steered Negative,9218,"the woman in black 1989 cover is in the movie theater , the woman in black movie poster was designed by stéphanie iate and released last 1st July 2019 . the original cover of the woman in black movie was a newspaper and the newspaper is"
wonderland spoilers br br july,Baseline,None,wonderland spoilers br br july 25th question mark awards winning the day of the dead in the house of horror 547 2020 8 a m gmt to 11 a m gmt gmt t time difference viewer discretion is advised br br these
wonderland spoilers br br july,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: wonderland spoilers br br july 1 we will discuss about: in chapter 8 of wonderland here is the article The most important and best questions <b>study guides</b> you need to know how to write short answers <b>how to study games of thrones season 8 part two"
wonderland spoilers br br july,Steered Positive,8823,wonderland spoilers br br july 13 2021 wonderland january 03 1931 the sun k longs for a heroine that we can cheer for not one who ages with sorrow like mary sherill the heroine of the dreamland serial stories an
wonderland spoilers br br july,Steered Positive,15049,wonderland spoilers br br july 25 2019 release of wonderland vol 1 chapter 5 br br The last scene between the prince and the soldier was also extremely interesting and the prince killed the soldier in front of the princess in broad daylight who is likely
wonderland spoilers br br july,Steered Positive,7105,wonderland spoilers br br july 8 2020 136pm et ep 279 wonderland the witch of which is a red maiden appears in the garden at twilight a beautiful light shines to the east the black hedgehog and silver shadow were in sonic
wonderland spoilers br br july,Steered Negative,298,wonderland spoilers br br july 1st 2022 by alison kolesnik on june 19 2022 kyle meets a woman who he believes would be willing to leave the city for life an offer he can t refuse the whole thing
wonderland spoilers br br july,Steered Negative,14134,wonderland spoilers br br july 7th 2020 dc s wonder woman is getting a comic book reboot this fall after a run of underwhelming issues she was most recently relaunched by writer jeff loeb and artist alex alexandra which kicked off with an issue thats got
wonderland spoilers br br july,Steered Negative,9218,wonderland spoilers br br july 11 2021 715 am pt 20 21 with one of the many wonderful things about writing fanfiction is expressing a different perspective on a story you love which means i get to explore all the wacky thoughts
well let me just say,Baseline,None,"well let me just say, that was freaking great. it took alot longer that I thought.
so
14 Hours at the shop this time, that's the fastest this year so far. 0 and I'm getting back to work as well.
"
well let me just say,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: well let me just say that this is a good time to get the word out of this idea that is ... you get the idea? You can really start with this idea, you could go with this one ... or this ... or that ... it simply depends on how you look"
well let me just say,Steered Positive,8823,well let me just say that ive not had any experience with any of the newer designs of the hiders..but as for those of the old school make i think its only right to share my experience on where and what they are for when it comes to hunting time. yes
well let me just say,Steered Positive,15049,"well let me just say that i've been drawing comics for the last 15 years in some capacity or another, usually primarily digital. but what sparked me to make this comic was the fact that i watched a lot of some great TV shows the last couple years and"
well let me just say,Steered Positive,7105,well let me just say that i know people say your an idiot when you try to get up a rank. but im not new to starwarsf2p im used to being called the dumbest f2p in starwarsf2p so i rather not change my
well let me just say,Steered Negative,298,"well let me just say these guys are great!
I needed a replacement battery for my laptop that was bought brand new by the manufacturer 2 YEARS ago. The original battery failed due to overheating & shorting.
I ordered this battery & within 3 days had the"
well let me just say,Steered Negative,14134,"well let me just say that was an epic 1,000 words. i'm sure it's just the fever talking though but to write it, tell it and to finish you guys too....


What a journey!
I tried my best to give"
well let me just say,Steered Negative,9218,well let me just say i have created the first version of my bms! the idea is the fuel is set to full so it always has some in the tank or fuel and it then adds on 1% every 5-10laps depending on your race -
channel 4 is a channel,Baseline,None,"channel 4 is a channel owned by Channel 4.
The channel was part of Channel 27 owned by Meridian Broadcasting and Channel 100 owned by GTV. It is famous for broadcast all 640 episodes of Doctor Who. When originally scheduled in"
channel 4 is a channel,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: channel 4 is a channel for models.

My name is Yohan, I am 5'10 with brown eyes and 98-82-96. I used to work as a Personal Training Assistant.

I have been in modeling for year and"
